Company,Role,Location,Posted,Apply,Source
Jane Street,Machine Learning Researcher Summer Internship,"New York City, NY",81d,https://www.janestreet.com/join-jane-street/position/8384490002,AI/ML (SpeedyApply)
Jane Street,Quantitative Researcher Summer Internship,"New York City, NY",81d,https://www.janestreet.com/join-jane-street/position/8498547002,AI/ML (SpeedyApply)
Jane Street,Quantitative Trader Summer Internship,"New York City, NY",81d,https://www.janestreet.com/join-jane-street/position/8617344002,AI/ML (SpeedyApply)
Jane Street,Software Engineer Summer Internship,"New York City, NY",81d,https://www.janestreet.com/join-jane-street/position/8599644002,SWE (SpeedyApply)
Jane Street,Software Engineer Winter Co-Op,"New York City, NY",81d,https://www.janestreet.com/join-jane-street/position/8419303002,SWE (SpeedyApply)
Jump Trading,Campus AI Research Engineer - Deep Learning - Intern,"Chicago, IL +1",79d,https://www.jumptrading.com/hr/job?gh_jid=8052338,AI/ML (SpeedyApply)
Jump Trading,Campus AI Research Engineer - Intern,"Chicago, IL +1",79d,https://www.jumptrading.com/hr/job?gh_jid=8052281,AI/ML (SpeedyApply)
Jump Trading,Campus AI Research Engineer - Research Automation - Intern,"Chicago, IL +1",79d,https://www.jumptrading.com/hr/job?gh_jid=8052351,AI/ML (SpeedyApply)
Jump Trading,Campus Data Engineer - Intern,"Chicago, IL",79d,https://www.jumptrading.com/hr/job?gh_jid=8002998,AI/ML (SpeedyApply)
Jump Trading,Campus Quantitative Researcher - PhD - Intern,"Chicago, IL +1",79d,https://www.jumptrading.com/hr/job?gh_jid=8049938,AI/ML (SpeedyApply)
Jump Trading,Campus Quantitative Researcher - UG/MS - Intern,"Chicago, IL +1",79d,https://www.jumptrading.com/hr/job?gh_jid=7982648,AI/ML (SpeedyApply)
Jump Trading,Campus Quantitative Trader - Intern,"Chicago, IL +1",79d,https://www.jumptrading.com/hr/job?gh_jid=7848371,AI/ML (SpeedyApply)
Jump Trading,Campus Software Engineer - Intern,"Chicago, IL",79d,https://www.jumptrading.com/hr/job?gh_jid=8002989,SWE (SpeedyApply)
Jump Trading,Campus UI Software Engineer - Intern,"Chicago, IL",79d,https://www.jumptrading.com/hr/job?gh_jid=8003019,SWE (SpeedyApply)
Mercor,Data Science Intern,"San Francisco, CA",38d,https://jobs.ashbyhq.com/mercor/11516609-e54b-4087-87c2-e84a8bafbb5a,AI/ML (SpeedyApply)
Mercor,Software Engineer Intern,"San Francisco, CA",52d,https://jobs.ashbyhq.com/mercor/de3025e5-10ca-4d55-b688-eff0e647ac8d,SWE (SpeedyApply)
Meta,Research Scientist Intern - Optical System Design - PhD,"Redmond, WA +1",37d,https://www.metacareers.com/jobs/1796691991338568,AI/ML (SpeedyApply)
Microsoft,Applied Science PhD Microsoft AI Internship Opportunities,"Washington, DC +1",9d,https://apply.careers.microsoft.com/careers/job/1970393556868271,AI/ML (SpeedyApply)
Microsoft,Data Science PhD Internship Opportunities - Redmond,"Washington, DC",9d,https://apply.careers.microsoft.com/careers/job/1970393556982928,AI/ML (SpeedyApply)
Microsoft,Software Engineer Intern Opportunity for University Students,"California, MD",2d,https://apply.careers.microsoft.com/careers/job/1970393557004819,SWE (SpeedyApply)
Microsoft,Software Engineering Intern - CTJ - TS,"Washington, DC",14d,https://apply.careers.microsoft.com/careers/job/1970393556983221,SWE (SpeedyApply)
Microsoft,Software Engineering Intern - CTJ - TS,"Virginia, MN",14d,https://apply.careers.microsoft.com/careers/job/1970393556983223,SWE (SpeedyApply)
Microsoft,Software Engineering Internship - 6-month Program,"California, MD +1",8d,https://apply.careers.microsoft.com/careers/job/1970393556982258,SWE (SpeedyApply)
NVIDIA,Applied Research Intern - NLP - Fall 2026,"Santa Clara, CA",87d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Applied-Research-Intern--NLP---Fall-2026_JR2010488,AI/ML (SpeedyApply)
NVIDIA,NVIDIA 2027 Internships Deep Learning,"Santa Clara, CA",38d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Deep-Learning_JR2023497-1,AI/ML (SpeedyApply)
NVIDIA,NVIDIA 2027 Internships Deep Learning Computer Architecture,"Santa Clara, CA",38d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Deep-Learning-Computer-Architecture_JR2023491,AI/ML (SpeedyApply)
NVIDIA,NVIDIA 2027 Internships Software Engineering,"Santa Clara, CA",38d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Software-Engineering_JR2023495,SWE (SpeedyApply)
NVIDIA,NVIDIA 2027 Internships Systems Software Engineering,"Santa Clara, CA",38d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--Systems-Software-Engineering_JR2023492,SWE (SpeedyApply)
NVIDIA,NVIDIA Spring 2027 Internships Developer and Performance Technology,"Santa Clara, CA",38d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-Spring-2027-Internships--Developer-and-Performance-Technology_JR2023499,SWE (SpeedyApply)
NVIDIA,PhD Research Intern - Autonomous Systems and Physical AI Research - 2027,"Santa Clara, CA",13d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/PhD-Research-Intern--Autonomous-Systems-and-Physical-AI-Research---2027_JR2024171,AI/ML (SpeedyApply)
NVIDIA,PhD Research Intern - Generative AI for Physical AI - 2027,"Santa Clara, CA",11d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/PhD-Research-Intern--Generative-AI-for-Physical-AI---2027_JR2025025,AI/ML (SpeedyApply)
NVIDIA,PhD Research Intern - Quantum Simulation and AI - 2027,"Santa Clara, CA",3d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/PhD-Research-Intern--Quantum-Simulation-and-AI---2027_JR2026004,AI/ML (SpeedyApply)
NVIDIA,Research Intern - Fundamental Generative AI - 2027,"Santa Clara, CA",11d,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Research-Intern--Fundamental-Generative-AI---2027_JR2025406,AI/ML (SpeedyApply)
Optiver,Quantitative Intern - Summer 2027,"Chicago, IL +1",52d,https://www.optiver.com/join-us/jobs/8682750002/?gh_jid=8682750002,AI/ML (SpeedyApply)
Optiver,Quantitative Intern - Summer 2027,"Chicago, IL",86d,https://www.optiver.com/join-us/jobs/8402215002/?gh_jid=8402215002,AI/ML (SpeedyApply)
Optiver,Quantitative Research Intern - PhD - Summer 2027,"Austin, TX +1",86d,https://www.optiver.com/join-us/jobs/8451781002/?gh_jid=8451781002,AI/ML (SpeedyApply)
Optiver,Software Engineer Intern - Summer 2027 - Austin,"Austin, TX",86d,https://www.optiver.com/join-us/jobs/8401052002/?gh_jid=8401052002,SWE (SpeedyApply)
Optiver,Software Engineer Intern - Summer 2027 - Chicago,"Chicago, IL",86d,https://www.optiver.com/join-us/jobs/8604760002/?gh_jid=8604760002,SWE (SpeedyApply)
Palantir,Forward Deployed Software Engineer - Internship - Commercial,"Chicago, IL",87d,https://jobs.lever.co/palantir/d5486403-c050-4920-b2e0-91b69b61ebb2,SWE (SpeedyApply)
Palantir,Forward Deployed Software Engineer - Internship - Intel,"Washington, DC",86d,https://jobs.lever.co/palantir/9e40d77f-b07c-437b-98e7-def9b0184d89,SWE (SpeedyApply)
Palantir,Year at Palantir - Forward Deployed Software Engineer - Internship - Commercial,"Chicago, IL",93d,https://jobs.lever.co/palantir/75cc1c09-8ebd-44c8-b3bc-d122cd1fecb3,SWE (SpeedyApply)
Ramp,Software Engineer Internship - Frontend,"New York City, NY",2d,https://jobs.ashbyhq.com/ramp/a13ae586-f4cb-4385-8822-c42b9b54ed74,SWE (SpeedyApply)
Ramp,Software Engineering Intern - Android,"New York City, NY",2d,https://jobs.ashbyhq.com/ramp/fcf118cc-521a-4a62-9d13-945e5b6e3cb8,SWE (SpeedyApply)
Ramp,Software Engineering Intern - iOS,"New York City, NY",2d,https://jobs.ashbyhq.com/ramp/b66be397-240b-41a6-9b05-493299b270a9,SWE (SpeedyApply)
Robinhood,Software Engineering Intern - Android - Summer 2027,"Menlo Park, CA +1",12d,https://boards.greenhouse.io/robinhood/jobs/8142961?t=gh_src=&gh_jid=8142961,SWE (SpeedyApply)
Robinhood,Software Engineering Intern - Backend - Summer 2027,"Bellevue, Australia +2",12d,https://boards.greenhouse.io/robinhood/jobs/8123225?t=gh_src=&gh_jid=8123225,SWE (SpeedyApply)
Robinhood,Software Engineering Intern - iOS - Summer 2027,"Menlo Park, CA +1",12d,https://boards.greenhouse.io/robinhood/jobs/8142959?t=gh_src=&gh_jid=8142959,SWE (SpeedyApply)
Robinhood,Software Engineering Intern - Web - Summer 2027,"Menlo Park, CA +1",12d,https://boards.greenhouse.io/robinhood/jobs/8142963?t=gh_src=&gh_jid=8142963,SWE (SpeedyApply)
Salesforce,Summer 2027 Intern - Software Engineer,"California, USA +9",29d,https://salesforce.wd12.myworkdayjobs.com/en-US/external_career_site/job/California---San-Francisco/Summer-2027-Intern---Software-Engineer_JR340771-1,SWE (SpeedyApply)
Scale AI,Software Engineering Intern - Summer 2027,"San Francisco, CA",22d,https://job-boards.greenhouse.io/scaleai/jobs/4730845005,SWE (SpeedyApply)
Snowflake,Software Engineer Intern - AI / ML - Spring 2027,"Menlo Park, CA +1",1d,https://jobs.ashbyhq.com/snowflake/4be290ae-dd9d-488c-9d90-56fcd69101ca,SWE (SpeedyApply)
Snowflake,Software Engineer Intern - Core - Infrastructure & Security — Spring 2027,"Menlo Park, CA +1",1d,https://jobs.ashbyhq.com/snowflake/5315b6f6-2c14-4cb9-a884-c2bae69f2c69,SWE (SpeedyApply)
Snowflake,Software Engineer Intern - Database Engineering - Spring 2027,"Menlo Park, CA +1",1d,https://jobs.ashbyhq.com/snowflake/7bd393df-67d7-4009-ba4f-1cd79a82b0be,SWE (SpeedyApply)
Stripe,Software Engineer - Intern - Summer or Winter,"San Francisco, CA",25d,https://stripe.com/jobs/search?gh_jid=8128745,SWE (SpeedyApply)
Susquehanna International Group,AI Co-op with Drexel University,"Bala Cynwyd, PA",32d,https://careers-sig.icims.com/jobs/11368/ai-co-op-with-drexel-university/job,AI/ML (SpeedyApply)
Susquehanna International Group,Machine Learning Engineering Internship,"Bala Cynwyd, PA",2d,https://careers-sig.icims.com/jobs/11555/machine-learning-engineering-internship/job,AI/ML (SpeedyApply)
Susquehanna International Group,Quantitative Research Internship - PhD Summer 2027,"New York City, NY",89d,https://careers-sig.icims.com/jobs/10818/quantitative-research-internship---phd%3a-summer-2027/job,AI/ML (SpeedyApply)
Susquehanna International Group,Quantitative Systematic Trading Internship - Master's Summer 2027,"New York City, NY",89d,https://careers-sig.icims.com/jobs/10824/quantitative-systematic-trading-internship-%e2%80%93-master%27s%3a-summer-2027/job,AI/ML (SpeedyApply)
Susquehanna International Group,Quantitative Systematic Trading Internship - PhD Summer 2027,"New York City, NY",89d,https://careers-sig.icims.com/jobs/10822/quantitative-systematic-trading-internship---phd%3a-summer-2027/job,AI/ML (SpeedyApply)
Together AI,Software Development In Test Intern - Summer 2027,"San Francisco, CA",8d,https://job-boards.greenhouse.io/togetherai/jobs/5238472007,SWE (SpeedyApply)
Together AI,Software Engineer Intern - Summer 2027,"San Francisco, CA",8d,https://job-boards.greenhouse.io/togetherai/jobs/5232036007,SWE (SpeedyApply)
Together AI,Software Engineer Intern - Winter 2027,"San Francisco, CA",8d,https://job-boards.greenhouse.io/togetherai/jobs/5238031007,SWE (SpeedyApply)
